shot,start_s,end_s,duration_s,src
S001,0.00,8.00,8.00,shots/S001_c01/video.mp4
S002,8.00,15.29,7.29,shots/S002_c01/video.mp4
S003,15.29,21.88,6.58,shots/S003_c01/video.mp4
S004,21.88,32.00,10.12,shots/S004_c01/video.mp4
S005,32.00,40.00,8.00,shots/S005_c01/video.mp4
S006,40.00,47.29,7.29,shots/S006_c01/video.mp4
S007,47.29,55.29,8.00,shots/S007_c01/video.mp4
S008,55.29,61.88,6.58,shots/S008_c01/video.mp4
S009,61.88,71.29,9.42,shots/S009_c01/video.mp4
S010,71.29,78.58,7.29,shots/S010_c01/video.mp4
S011,78.58,86.58,8.00,shots/S011_c01/video.mp4
S012,86.58,93.17,6.58,shots/S012_c01/video.mp4
S013,93.17,103.29,10.12,shots/S013_c01/video.mp4
S014,103.29,112.71,9.42,shots/S014_c01/video.mp4
S015,112.71,120.71,8.00,shots/S015_c01/video.mp4
S016,120.71,128.71,8.00,shots/S016_c01/video.mp4
S017,128.71,138.13,9.42,shots/S017_c01/video.mp4
S018,138.13,146.13,8.00,shots/S018_c01/video.mp4
S019,146.13,153.42,7.29,shots/S019_c01/video.mp4
S020,153.42,162.84,9.42,shots/S020_c01/video.mp4
S021,162.84,170.84,8.00,shots/S021_c01/video.mp4
S022,170.84,178.84,8.00,shots/S022_c01/video.mp4
S023,178.84,186.84,8.00,shots/S023_c01/video.mp4
S024,186.84,193.42,6.58,shots/S024_c01/video.mp4
S025,193.42,200.00,6.58,shots/S025_c01/video.mp4
S026,200.00,208.00,8.00,shots/S026_c01/video.mp4
S027,208.00,219.54,11.54,shots/S027_c01/video.mp4
